True,Predicted,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16
M,M,0.4,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.6,0.4666666666666667,0.6666666666666666,0.4,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.6,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.7333333333333333
N,N,0.2,0.3333333333333333,0.4,0.2,0.13333333333333333,0.4666666666666667,0.6,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.4,0.3333333333333333,0.5333333333333333,0.06666666666666667,0.4666666666666667
M,M,0.13333333333333333,0.0,0.13333333333333333,0.0,0.06666666666666667,0.4666666666666667,0.4,0.6666666666666666,0.0,0.4666666666666667,0.6,0.5333333333333333,0.4,0.4,0.0,0.5333333333333333
U,U,0.2,0.26666666666666666,0.26666666666666666,0.2,0.13333333333333333,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.6,0.5333333333333333,0.6,0.2,0.6666666666666666,0.13333333333333333,0.3333333333333333
I,I,0.4,1.0,0.26666666666666666,0.5333333333333333,0.2,0.7333333333333333,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.8,0.13333333333333333,0.4666666666666667,0.2,0.5333333333333333,0.3333333333333333,0.6666666666666666
R,R,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.13333333333333333,0.4,0.26666666666666666,0.5333333333333333
I,I,0.13333333333333333,0.6,0.2,0.4666666666666667,0.2,0.4666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4,0.5333333333333333,0.0,0.5333333333333333,0.2,0.5333333333333333
I,I,0.2,0.5333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.6,0.9333333333333333,0.4,0.5333333333333333,0.0,0.5333333333333333,0.06666666666666667,0.5333333333333333
Y,Y,0.2,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.6666666666666666,0.13333333333333333,0.4,0.4,0.8,0.6,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.5333333333333333
Z,Z,0.26666666666666666,0.5333333333333333,0.4,0.4,0.26666666666666666,0.4666666666666667,0.6,0.13333333333333333,0.6,0.7333333333333333,0.4666666666666667,0.4,0.06666666666666667,0.5333333333333333,0.4,0.4
Z,Z,0.2,0.6,0.26666666666666666,0.4666666666666667,0.2,0.4666666666666667,0.5333333333333333,0.2,0.7333333333333333,0.5333333333333333,0.4,0.5333333333333333,0.0,0.5333333333333333,0.4666666666666667,0.4666666666666667
R,H,0.26666666666666666,0.5333333333333333,0.4,0.4,0.3333333333333333,0.4,0.5333333333333333,0.3333333333333333,0.4,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.4,0.4666666666666667,0.3333333333333333,0.5333333333333333
E,E,0.3333333333333333,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.13333333333333333,0.6,0.7333333333333333,0.4,0.6,0.2,0.5333333333333333,0.3333333333333333,0.5333333333333333
J,J,0.2,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.4,0.8666666666666667,0.2,0.4666666666666667,0.0,0.5333333333333333,0.0,0.5333333333333333
G,G,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.4,0.4,0.3333333333333333,0.4,0.3333333333333333,0.6,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.6666666666666666
P,P,0.4666666666666667,0.6666666666666666,0.6,0.5333333333333333,0.3333333333333333,0.6,0.5333333333333333,0.2,0.4666666666666667,0.8666666666666667,0.2,0.2,0.13333333333333333,0.6666666666666666,0.26666666666666666,0.6
A,A,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.4,0.4,0.2,0.13333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
D,D,0.3333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.2,0.3333333333333333,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.4,0.4,0.2,0.5333333333333333,0.26666666666666666,0.5333333333333333
M,M,0.3333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.8,0.13333333333333333,0.4666666666666667,0.6,0.5333333333333333,0.5333333333333333,0.4,0.0,0.5333333333333333
F,F,0.13333333333333333,0.3333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.7333333333333333,0.2,0.3333333333333333,0.7333333333333333,0.6,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.2,0.4
S,S,0.2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.6,0.3333333333333333,0.5333333333333333
F,F,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.3333333333333333,0.2,0.8,0.6,0.3333333333333333,0.0,0.5333333333333333,0.13333333333333333,0.4
A,A,0.3333333333333333,0.4,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.2,0.26666666666666666,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.6,0.2,0.4
O,O,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.6,0.4,0.5333333333333333,0.2,0.5333333333333333,0.2,0.5333333333333333
J,J,0.13333333333333333,0.4666666666666667,0.2,0.3333333333333333,0.06666666666666667,0.9333333333333333,0.13333333333333333,0.4,0.3333333333333333,0.9333333333333333,0.13333333333333333,0.7333333333333333,0.0,0.4666666666666667,0.0,0.5333333333333333
S,S,0.3333333333333333,0.4666666666666667,0.4,0.3333333333333333,0.2,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.6,0.7333333333333333,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.4,0.3333333333333333,0.6
J,J,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.6666666666666666,0.4,0.13333333333333333,0.4666666666666667,0.8,0.26666666666666666,0.6,0.06666666666666667,0.4,0.06666666666666667,0.4666666666666667
N,N,0.5333333333333333,1.0,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.8666666666666667,0.5333333333333333,0.6,0.4,0.5333333333333333,0.0,0.4666666666666667
B,B,0.13333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.6
R,R,0.4,0.7333333333333333,0.6,0.5333333333333333,0.5333333333333333,0.6,0.5333333333333333,0.26666666666666666,0.4,0.6,0.2,0.4666666666666667,0.2,0.4,0.26666666666666666,0.7333333333333333
G,G,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.4,0.4666666666666667,0.4,0.4,0.4666666666666667,0.4,0.6666666666666666,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.6
O,O,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.4,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4,0.4666666666666667,0.2,0.5333333333333333,0.26666666666666666,0.5333333333333333
U,U,0.2,0.4,0.2,0.26666666666666666,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.8666666666666667,0.3333333333333333,0.4,0.8666666666666667,0.5333333333333333,0.2,0.6,0.0,0.5333333333333333
K,K,0.4,0.6,0.6,0.4666666666666667,0.4,0.13333333333333333,0.5333333333333333,0.2,0.4666666666666667,0.7333333333333333,0.8,0.8,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.3333333333333333
E,E,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.13333333333333333,0.4666666666666667,0.7333333333333333,0.4666666666666667,0.6,0.13333333333333333,0.6,0.26666666666666666,0.5333333333333333
K,K,0.13333333333333333,0.06666666666666667,0.2,0.2,0.13333333333333333,0.4,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.4,0.6666666666666666,0.2,0.5333333333333333,0.3333333333333333,0.6
Y,Y,0.4666666666666667,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.13333333333333333,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.4,0.13333333333333333,0.6666666666666666,0.26666666666666666,0.2
T,T,0.13333333333333333,0.4666666666666667,0.2,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.9333333333333333,0.0,0.4,0.4666666666666667,0.7333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333
W,W,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.4,0.3333333333333333,0.6,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.4,0.6,0.4,0.7333333333333333,0.5333333333333333,0.2,0.4
D,D,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.3333333333333333,0.4,0.5333333333333333,0.2,0.4666666666666667
J,J,0.2,0.5333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.6,0.3333333333333333,0.26666666666666666,0.3333333333333333,1.0,0.4,0.8,0.06666666666666667,0.4,0.06666666666666667,0.4666666666666667
C,C,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.2,0.3333333333333333,0.4666666666666667,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2,0.5333333333333333
G,G,0.3333333333333333,0.7333333333333333,0.4,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.4,0.13333333333333333,0.4,0.4,0.6666666666666666,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.4666666666666667
N,N,0.26666666666666666,0.4666666666666667,0.4,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.6,0.2,0.2,0.6,0.6,0.6,0.4,0.4666666666666667,0.06666666666666667,0.4666666666666667
X,X,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.4,0.26666666666666666,0.4,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.6,0.2,0.5333333333333333,0.2,0.4666666666666667
D,D,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.4,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.2,0.5333333333333333,0.2,0.4666666666666667
X,X,0.5333333333333333,0.8,0.4666666666666667,0.4,0.26666666666666666,0.4,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.6,0.4,0.6,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4666666666666667
N,J,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.2,0.4666666666666667
B,B,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.26666666666666666,0.4,0.4,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.4,0.6
I,I,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.4,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333
S,S,0.2,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.4,0.4666666666666667,0.4666666666666667,0.2,0.13333333333333333,0.5333333333333333,0.4,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.8,0.2
N,N,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.6666666666666666,0.0,0.4,0.4,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333
Y,Y,0.26666666666666666,0.6,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.6,0.6,0.3333333333333333,0.2,0.7333333333333333,0.2,0.26666666666666666
F,F,0.26666666666666666,0.4666666666666667,0.4,0.3333333333333333,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.4,0.8666666666666667,0.3333333333333333,0.4,0.13333333333333333,0.6666666666666666,0.13333333333333333,0.5333333333333333
G,G,0.2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4,0.4,0.4,0.3333333333333333,0.6,0.4666666666666667,0.7333333333333333,0.13333333333333333,0.6,0.26666666666666666,0.6666666666666666
U,U,0.6,0.9333333333333333,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.4
S,S,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.4666666666666667,0.6,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.4666666666666667,0.6,0.6
E,E,0.3333333333333333,0.8,0.26666666666666666,0.4,0.2,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.2,0.6,0.5333333333333333,0.6
H,K,0.5333333333333333,0.9333333333333333,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.3333333333333333,0.4,0.4,0.5333333333333333,0.3333333333333333,0.5333333333333333
M,M,0.4666666666666667,0.4,0.6,0.3333333333333333,0.6,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.3333333333333333
B,B,0.4,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.4,0.6666666666666666,0.4,0.4,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.6
G,G,0.13333333333333333,0.2,0.2,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.3333333333333333,0.4666666666666667,0.4,0.6,0.13333333333333333,0.6,0.26666666666666666,0.6666666666666666
I,I,0.2,0.7333333333333333,0.2,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4,0.5333333333333333,0.0,0.5333333333333333,0.2,0.5333333333333333
V,V,0.4,0.6,0.4,0.26666666666666666,0.13333333333333333,0.4,0.6,0.26666666666666666,0.13333333333333333,0.6,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.8,0.13333333333333333,0.4666666666666667
P,P,0.2,0.4,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.7333333333333333,0.4666666666666667,0.2,0.7333333333333333,0.3333333333333333,0.2,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.4666666666666667
T,T,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.4,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.4,0.4666666666666667,0.4,0.6,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.4666666666666667
U,U,0.3333333333333333,0.7333333333333333,0.3333333333333333,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.8,0.26666666666666666,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.2,0.6,0.0,0.5333333333333333
N,N,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.4,0.4666666666666667,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.4
C,C,0.4666666666666667,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.4,0.4,0.4,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.8666666666666667,0.26666666666666666,0.6,0.26666666666666666,0.4
N,N,0.2,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.9333333333333333,0.13333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.4,0.5333333333333333,0.0,0.5333333333333333
I,I,0.2,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.4,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.0,0.6,0.26666666666666666,0.4666666666666667
N,H,0.2,0.4,0.26666666666666666,0.26666666666666666,0.2,0.4666666666666667,0.4666666666666667,0.4,0.4,0.4666666666666667,0.4,0.5333333333333333,0.2,0.4666666666666667,0.2,0.5333333333333333
I,I,0.4666666666666667,0.8666666666666667,0.3333333333333333,0.4666666666666667,0.2,0.6,0.4666666666666667,0.4,0.26666666666666666,0.8666666666666667,0.26666666666666666,0.6,0.2,0.5333333333333333,0.3333333333333333,0.6666666666666666
D,H,0.4,0.6,0.5333333333333333,0.4,0.3333333333333333,0.6666666666666666,0.4,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.6,0.3333333333333333,0.5333333333333333
W,W,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.2,0.4666666666666667,0.7333333333333333,0.2,0.13333333333333333,0.4,0.6,0.5333333333333333,0.4666666666666667,0.7333333333333333,0.0,0.5333333333333333
J,J,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.2,0.6,0.4666666666666667,0.13333333333333333,0.4,0.9333333333333333,0.26666666666666666,0.5333333333333333,0.0,0.4666666666666667,0.06666666666666667,0.4666666666666667
E,E,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.4,0.8666666666666667,0.0,0.5333333333333333,0.4,0.6
M,M,0.2,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.4,0.7333333333333333,0.06666666666666667,0.5333333333333333,0.6,0.5333333333333333,0.4666666666666667,0.4,0.0,0.5333333333333333
A,A,0.4,0.8,0.4,0.4,0.2,0.8666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.8,0.13333333333333333,0.6666666666666666,0.13333333333333333,0.2,0.13333333333333333,0.6666666666666666
N,N,0.4666666666666667,0.8,0.5333333333333333,0.4,0.26666666666666666,0.8,0.26666666666666666,0.3333333333333333,0.2,0.8666666666666667,0.0,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.0,0.4666666666666667
A,A,0.26666666666666666,0.6,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.6666666666666666,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.7333333333333333,0.3333333333333333,0.8,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.6666666666666666
F,F,0.2,0.6,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.06666666666666667,0.4666666666666667,0.6666666666666666,0.6,0.4666666666666667,0.06666666666666667,0.6666666666666666,0.2,0.4
F,F,0.2,0.2,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.7333333333333333,0.13333333333333333,0.3333333333333333,0.8666666666666667,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.6,0.06666666666666667,0.4666666666666667
N,N,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.6,0.4,0.2,0.4666666666666667,0.4,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.4666666666666667
G,G,0.13333333333333333,0.2,0.2,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.6,0.4666666666666667,0.6666666666666666,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.6
A,A,0.26666666666666666,0.6,0.4,0.4666666666666667,0.4,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.4,0.5333333333333333,0.2,0.5333333333333333,0.5333333333333333,0.26666666666666666
H,H,0.2,0.26666666666666666,0.3333333333333333,0.2,0.2,0.4,0.5333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.6,0.6,0.2,0.4666666666666667,0.2,0.4
F,F,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.4,0.2,0.4666666666666667,0.6666666666666666,0.13333333333333333,0.4666666666666667,0.9333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.5333333333333333
U,U,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.4,0.4,0.6,0.6,0.2,0.6,0.06666666666666667,0.5333333333333333
B,B,0.26666666666666666,0.6,0.4,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.6666666666666666,0.4,0.4,0.2,0.5333333333333333,0.4666666666666667,0.6
O,O,0.4,0.6,0.5333333333333333,0.4,0.6,0.5333333333333333,0.6,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.6,0.6,0.4,0.8
V,V,0.4,0.5333333333333333,0.4,0.4,0.26666666666666666,0.26666666666666666,0.7333333333333333,0.06666666666666667,0.2,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.7333333333333333,0.06666666666666667,0.4666666666666667
R,R,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.6,0.4666666666666667,0.26666666666666666,0.4,0.6666666666666666,0.2,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
I,I,0.0,0.0,0.0,0.06666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.4,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333
D,D,0.2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.4,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.2,0.4666666666666667
X,X,0.4,0.6666666666666666,0.6,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.6,0.7333333333333333,0.8,0.6666666666666666,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.3333333333333333
